StudentID,Answer,Score
1,"- Teknologi informasi dapat digunakan untuk mengontrol jumlah barang yang dihasilkan dan jumlah barang yang keluar, sehingga ddata yang ada dapat lebih mudah diakses dan teliti. - Kegiatan pemasaran yang memanfaatkan Teknologi informasi seperti promosi produk via internet, penjualan barang secara online, dan penyedia jasacustomer serviceonline. - Dalam bidang manajemen karyawan, Teknologi informasi mempermudah manajer untuk mencari informasi tentang karyawannya.",28.33
2,"bisnis menjadi lebih efisien, efektif, jangkauan pemasaran lebih luas, peluang lebih besar ",26.67
3,"mempersingkat waktu,memperoleh koneksi bisnis dengan cepat.. mempromosikan produk dengan cepat ",26.00
4,1. Mempersingkat waktu. 2. Memudahkan dalam transaksi. 3. Memudahkan dalam melihat barang belanjaan. ,26.67
5,untuk memudahkan kehidupan ,6.33
6,"Semakin maraknya penggunaan TIK akan semakin membuka lapangan pekerjaan,Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi bisnis suatu perusahaan atau peroranga, Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah kegiatan promosi dan pemasaran suatu produk. ",25.67
7,"dapat memudahkan proses perencanaan, distribusi, dan produksi dalam kegiatan bisnis ",24.33
8,Penerapan Teknologi Informasi Dunia Bisnis .Teknologi Informasi dimanfaatkan untuk perdagangan secara elektronik atau dikenal sebagai E-Commerce. E-Commerce adalah perdagangan menggunakan jaringan internet. ,23.33
9,-Semakin maraknya penggunaan TIK akan Semakin membuka lapangan pekerjaan. -Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi Bisnis suatu perusahaan atau perorangan -Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah Kegiatan promosi dan pemasaran suatu produk.,27.33
10,"1. Semakin maraknya penggunaan TIK akan semakin membuka lapangan pekerjaan. 2, Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi bisnis suatu perusahaan atau perorangan 3. Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah kegiatan promosi dan pemasaran suatu produk. ",29.00
11,"Memperluas Pangsa Pasar, Mengurangi biaya produksi dan operasional, Mempermudah proses komunikasi dan monitoring setiap karyawan, Munculnya peluang bisnis baru yakni E-Business ",46.67
12,Dapat menyimpan file-file yang penting ,12.67
13,"mempercepat kinerja bisnis, membuat pekerjaan bisnis jadi lebih mudah, mempermudah memonitoring karyawan. ",24.67
14,1. untuk pengembang bisnis 2. untuk memperluas bisnis 3. untuk mengenalkan bisnis kita ,22.33
15,"untuk memudahkan pemasaran , memudahkan pengolahan data , sarana yang mudah bagi masyarakat ",30.00
16,"mempermudah koneksi antar perusahaan, menambah penghasilan secara cepat ",28.00
17,-lebih efisien -lebih hemat -lebih aman,27.00
18,"mempermudah transaksi bisnis, mempermudah kegiatan promosi, mempermudah proses pendidikan ",23.67
19,Berikut ini adalah keuntungan dari teknologi Informasi dan komunikasi : 1. Membantu mempercepat pekerjaan manusia 2. Mempermudah komunikasi jarak jauh. 3. Mempermudah sistem administrasi 4. Mempermudah proses transaksi keuangan ,44.00
20,"praktis, memudahkan ",10.00
21,kecepatan transaksi. kenyamanan pelanggan. ketepatan transaksi. ,19.00
22,- Sebagai media pemasaran / transaksi - Sebagai media komunikasi - Sebagai media promosi,27.33
23,"-Dengan adanya Teknologi, kita dapat memanfaatkannya untuk promosi produk kepada konsumen -kita dapat mengembangkan produk yang kita buat Dengan mudah Dengan bantuan informasi yang terbaru -kita dapat menciptakan sesuatu yang baru dan unik untuk produk yang kita buat Dengan memanfaatkan Teknologi yang sedang berkembang saat ini",40.00
24,-mempermudah Dalam menjalankan Bisnis -memberikan layanan yang real time -praktis -mudah -cepat -efektif dan efisen -aman,25.67
25,bisnis dapat terstruktur dengan lebih baik lebih mudah mengelolanya ,19.00
26,"bisnis dapat menjadi lebih terstruktur, lebih mudah pengelolaannya, dan kita dapat memantau traffic bisnis yang sedang berjalan sehingga dapat meningkatkan produksi barang dan keuntungan perusahaan. ",25.67
27,"Pemasaran semakin luas dan mudah, Pengelolaan data atau uang menjadi lebih mudah dan tidak ada kacau. ",27.33
28,-mempermudah Dalam bidang pemasaran. -mempermudah Dalam bidang pembayaran. -mempermudah Dalam mereview produk.,23.67
29,mempermudah dalam transaksi jual beli ,19.33
30,- mendapat keuntungan - memudahkan transaksi - memudahkan mengirim uang,26.67
31,- cepat - efektif - efisien - praktis - mudah,23.00
32,-mempermudah proses transaksi Bisnis -memperluas jangkauan pasar -memudahkan dokumentasi berkas,24.33
