StudentID,Answer,Score
1,"Hardware yaitu perangkat keras komputer. contohnya mouse, monitor, cpu, keyboard dan speaker. ",46.66666667
2,"Hardware adalah perangkat keras, contohnya CPU, Monitor, Keyboard ",43.33333333
3,"perangkat keras komputer. mouse,keyboard,hardisk,flashdisk,monitor ",44.33333333
4,Hardware adalah tampat atau perangkat keras yang mendukung kinerja dari perangkat lunak. 1. Monitor. 2. Keyboard. 3. Mouse. 4. Speaker. 5. CPU. ,45
5,perangkat keras ,18.33333333
6,"Hardware adalah perangkat keras pada komputer yang dapat digunakan untuk membantu penggunanya.contohnya keyboard, mouse, joystik, headset, scanner. ",47.33333333
7,"hardwar artinya adalah perangkat keras. contohnya Power supply, CPU, hard disk, Video adaptor, dan Sound card ",41.66666667
8,"Hardware (Perangkat Keras) : Suatu komponen yang ada pada komputer, bisa dilihat secara kasat mata dan mampu disentuh secara fisik. Sementara itu, contoh dari hardware itu sendiri yakni : 1. Perangkat Input (Masukan) : Perangkat keras yang digunakan untuk memasukkan (input) dari pengguna yang akan diproses oleh komputer. Contohnya seperti : Mouse, keyboard, joystick, touchpad, light pen, barcode, scanner, microphone, dan lain-lain. 2. Perangkat Proses : Perangkat keras yang berguna untuk memproses masukan yang telah diberikan oleh pengguna. Contohnya Processor. 3. Perangkat Output (Keluaran) : Perangkat keras yang digunakan untuk menampilkan hasil yang telah diolah oleh komputer dan selanjutnya diberikan kepada pengguna. Contohnya seperti : Speaker, monitor, printer, proyektor, plotter dan sebagainya. ",72.66666667
9,"hardware= perangkat keras komputer, semua yg bisa kita sentuh dan bisa kita lihat bentuk nyatanya dalam komputer. contoh monitor, mouse, keyboard, motherboard, vga, ram, processor, dll ",76.66666667
10,"Hardware adalah perangkat keras pada komputer yang dapat digunakan untuk membantu penggunanya. contoh: keyboard, mouse, joystik, heatset, monitor ",51.66666667
11,"engertian Hardware atau Perangkat Keras adalah komponen pada komputer yang dapat terlihat dan disentuh secara fisik. contoh Monitor, CPU, Speaker, Keyboard, Mouse, Printer, Scanner ",77.33333333
12,"Hardware adalah Perangkat keras contohnya cpu,PC,mouse,keyboard,printer ",48.33333333
13,"hardware adalah sebuah perangkat keras komputer, contohnya mouse, keyboard, monitor, harddisk external, flasdisk dll ",46.66666667
14,"hardware adalah perangkat keras yang terdapat pada perangkat komputer. contoh 1. Keyboard , 2. Mouse, 3. Speaker, 4. Webcam, 5. Controller ",50
15,"perangkat keras yang berwujud , komputer,laptop, monitor , proyektor ",40
16,"hardware adalah perangkat keras yang bisa dilihat oleh mata, yang bisa membantu kinerja komputer contohnya : monitor, keyboard, mouse, printer, speaker ",55
17,"-Salah satu komponen dari sebuah komputer yang sifat alat nya bisa dilihat dan diraba secara langsung atau yang berbentuk nyata, yang berfungsi untuk mendukung proses komputerisasi. -Contohnya: -Monitor -CPU -Mouse -Keyboard -Printer ",54.66666667
