StudentID,Answer,Score
1,"LCD (Liquid Cristal Display), CPU (Central Processing Unit), GPS (Global Positioning System) ",94
2,"liquid crystal display, central processing unit, global position system ",81.66666667
3,"liquid crystal display, central prosesor unit, global position system ",81.66666667
4,LCD = Liquid Crystal Display. CPU = Control Processing Unit. GPS = Global Positioning System. ,94
5,LCD = liquid crystal display CPU=Central personal unit ,69.33333333
6,"Liquid Crystal Display, Central Processing Unit, Global Positioning System. ",87
7,"Liquid Crystal Display, Central Processing Unit, Global Positioning System ",87
8,LCD = liquid crystal display CPU = central processing unit GPS = Global Positioning System ,100
9,CPU -Central Processing Unit LCD - Liquid Crystal Display GPS -Global Positioning System ,100
10,LCD Liquid Crystal Display Central Processing Unit GPS Global Positioning System ,92.33333333
11,"kepanjangan LCD adalah Liquid Crystal Display, kepanjangan CPU adalah Central Processing Unit, kepanjangan GPS adalah Global Positioning System ",88.66666667
12,"liquid-crystal display,pronounced as separate letters,The Global Positioning System ",55.66666667
13,"liquid crystal display, central processor unit, global positioning system. ",77
14,LCD : Liquid Crystal Display CPU : Central Processing Unit GPS : Global Positioning System ,100
15,"LCD lead cristal display , CPU central processor unit ",43.66666667
16,"LCD = Liquid Cristal Display, CPU = Central Processing Unit, GPS = Global Place System ",78
17,"-LCD,yaitu Liquid Crystal Display -CPU,yaitu Central Processing Unit -GPS yaitu Global Positioning System",100
18,"liquid crystal display, central processing unit, global positioning system ",89.66666667
19,- LCD (Liquid Crystal Display) - CPU (centrak process Unit) -GPS (Global Positioning System),78
20,liquid central display ,23
21,LCD: Liquid Crystal Display. CPU: Central Personal Unit. GPS: Global Positioning System. ,87.33333333
22,LCD (Liquid Crystal Display) CPU (Central Processing Unit) GPS (Global Positioning System) ,100
23,-LCD adalah Liquid Crystal Display -CPU adalah Central Processing Unit -GPS adalah Global Positioning System,100
24,LCD adalah Liquid Crystal Disply CPU adalah Central Procesing Unit GPS adlah Global Positiioning System ,87
25,"LCD : liquid crystal dysplay, CPU : Central processing unit, GPS : global position system ",89.66666667
26,LCD : liquid crystal display. CPU : central processing unit. GPS : global position system. ,92.33333333
27,"LCD Liquid Crystal Display, CPu Central Processing Unit, GPS Graphical Position Satellite. ",75.33333333
28,-LCD Liquid Crystal display. -CPU Central Processing unit. -GPS Global Positioning system.,100
29,- LCD : Liquid Crystal Display - CPU : Central Prosesing Unit,69.33333333
30,- LCD (Liquid Cristal Display) - CPU (Central Processing Unit) - GPS (Global Positioning System),94
31,GPS = Global Positioning System ,32
32,"LCD (Limited Crystal Diode), CPU(Central Processing Unit), GPS(Global ) ",45
33,"GPU atau sering juga disebut VGA adalah saalah satu hardware pendukung bagi para desainer dan gamer yang memang kebutuhan grafisnya lebih berat daripada VGA Onboard yang sudah ada dari Mainboard. GPU kepanjangan dari Graphic Processing Unit. Singkatan GPU dan CPU memang tidak jauh berbeda, fungsi utama dari GPU itu sendiri memang di khususkan untuk mem-proses penggunaan grafik yang memang berat dan VGA Onboard tidak sanggup untuk menjalankan kebutuhan grafik tinggi tersebut, namun bukan berarti VGA Onboard sekarang tidak cukup untuk menjalakan beberapa penggunaan grafis grafik sebatas 3D biasa, CPU kepanjangannya adalah Central Processing Unit. CPU bertanggung jawab untuk melakukan semua dari perhitungan matematika yang diperlukan oleh komputer agar dapat berfungsi dengan baik. Dikarenakan komputer tidak dapat berfungsi tanpa CPU (yang mungkin juga disebut sebagai central processor atau hanya prosesor saja), tidak jarang terdengar orang merujuk ke CPU sebagai ""otak"" dari sebuah komputer, GPS atau Global Positioning System dalam pengertian sederhana adalah salah satu sistem yang akan membantu kita untuk mengetahui posisi kita berada saat ini. GPS bekerja dengan menstransmisikan sinyal dari satelit ke perangkat GPS (handphone atau Blackberry yang dilengkapi teknologi GPS misalnya). Untuk memperoleh detil posisi yang seakurat mungkin, GPS sebaiknya digunakan di ruang terbuka Penggunaan GPS di dalam ruangan, hutan ataupun di tempat yang banyak gedung-gedung tinggi, akan membuat GPS bekerja kurang akurat ",25
34,- LCD adalah Liquid Crystal Display - CPU adalah Central Processing Unit - GPS adalah Global Positioning System,100
35,-LCD (Liquid Crsytal Display) -CPU (Control Processing Unit) -GPS (Global Positioning System),94
36,- LCD Liquid Crystal Display - CPU Central Processing Unit - GPS Global Positioning System,100
37,-LCD Liquid Crystal Display -CPU Central Processing Unit -GPS Global Positioning System,100
38,LCD adalah Liquid Crystal Display CPU adalah Central Processing Unit GPS adalah Global Positioning Dustem ,90.66666667
39,lcd adalah Liquid Crystal Display cpu adalah Central Processing Unit gps adalah global positioning system ,100
40,"liquid control desktop, control prosesing unit, google prosesing satelit ",23
